full_address,name,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,url,Type of Property,Current Manager,Mail Preference
"{'village': 'Great Shefford', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'country': 'United Kingdom', 'country_code': 'gb'}",Hatchers Barn,,,,,West Berkshire,,UK,,,,,,https://www.cottages.com/cottages/hatchers-barn-uk42080,,,
"{'house_number': '23-37', 'road': 'Eddleston Way', 'suburb': 'Dee Park', 'town': 'Reading', 'ISO3166-2-lvl6': 'GB-RDG', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG30 4EH', 'country': 'United Kingdom', 'country_code': 'gb'}",Eddleston Way,,,,Reading,,RG30 4EH,UK,,,,,RG30,https://www.cottages.com/cottages/eddleston-way-uk41262,,,
"{'village': 'East Ilsley', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG20 7LY', 'country': 'United Kingdom', 'country_code': 'gb'}",The Gallops,,,,,West Berkshire,RG20 7LY,UK,,,,,RG20,https://www.cottages.com/cottages/the-gallops-ukc4259,,,
"{'road': 'Bay Tree Rise', 'suburb': 'Calcot', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG31 4RG', 'country': 'United Kingdom', 'country_code': 'gb'}",Kennet Valley View,,,,,West Berkshire,RG31 4RG,UK,,,,,RG31,https://www.cottages.com/cottages/kennet-valley-view-uk42354,,,
"{'village': 'East Ilsley', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG20 7LY', 'country': 'United Kingdom', 'country_code': 'gb'}",Ilsley Farm Barns - 1 The Pheasant,,,,,West Berkshire,RG20 7LY,UK,,,,,RG20,https://www.cottages.com/cottages/ilsley-farm-barns-1-the-pheasant-uk31228,,,
"{'road': 'Church Lane', 'isolated_dwelling': 'Herbert House', 'hamlet': 'Warfield', 'village': 'Newell Green', 'county': 'Bracknell Forest', 'ISO3166-2-lvl6': 'GB-BRC', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG42 6EG', 'country': 'United Kingdom', 'country_code': 'gb'}",The Barn at The Murrells,,,,,Bracknell Forest,RG42 6EG,UK,,,,,RG42,https://www.cottages.com/cottages/the-barn-at-the-murrells-uk33538,,,
"{'amenity': 'Colnbrook United Reformed', 'road': 'High Street', 'suburb': 'Colnbrook with Poyle', 'village': 'Colnbrook', 'town': 'Slough', 'ISO3166-2-lvl6': 'GB-SLG', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'SL3 0QL', 'country': 'United Kingdom', 'country_code': 'gb'}",Harrison Barber Cottage,,,,Slough,,SL3 0QL,UK,,,,,SL3,https://www.cottages.com/cottages/harrison-barber-cottage-ukc2231,,,
"{'village': 'East Ilsley', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG20 7LY', 'country': 'United Kingdom', 'country_code': 'gb'}",Ilsley Farm Barns- The Downs,,,,,West Berkshire,RG20 7LY,UK,,,,,RG20,https://www.cottages.com/cottages/ilsley-farm-barns--the-downs-uk33749,,,
"{'village': 'Great Shefford', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'country': 'United Kingdom', 'country_code': 'gb'}",Olivers Barn,,,,,West Berkshire,,UK,,,,,,https://www.cottages.com/cottages/olivers-barn-uk42081,,,
"{'road': 'Crimp Hill', 'isolated_dwelling': 'Victorian Lodge', 'village': 'Old Windsor', 'county': 'Windsor and Maidenhead', 'ISO3166-2-lvl6': 'GB-WNM', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'TW20 0YB', 'country': 'United Kingdom', 'country_code': 'gb'}",Victorian Hideaways - The Little Hideaway,,,,,Windsor and Maidenhead,TW20 0YB,UK,,,,,TW20,https://www.cottages.com/cottages/victorian-hideaways-the-little-hideaway-uk42656,,,
"{'village': 'East Ilsley', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG20 7LY', 'country': 'United Kingdom', 'country_code': 'gb'}",Ilsley Farm Barns- The Partridge,,,,,West Berkshire,RG20 7LY,UK,,,,,RG20,https://www.cottages.com/cottages/ilsley-farm-barns--the-partridge-uk33748,,,
"{'road': 'Littlebrook Avenue', 'village': 'Britwell', 'town': 'Slough', 'ISO3166-2-lvl6': 'GB-SLG', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'SL2 2NN', 'country': 'United Kingdom', 'country_code': 'gb'}",Windsor Burnham Ascot Haven,,,,Slough,,SL2 2NN,UK,,,,,SL2,https://www.cottages.com/cottages/windsor-burnham-ascot-haven-uk38785,,,
"{'village': 'East Ilsley', 'county': 'West Berkshire', 'ISO3166-2-lvl6': 'GB-WBK', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'RG20 7LY', 'country': 'United Kingdom', 'country_code': 'gb'}",Ilsley Farm Barns - 2 The Pheasant,,,,,West Berkshire,RG20 7LY,UK,,,,,RG20,https://www.cottages.com/cottages/ilsley-farm-barns-2-the-pheasant-uk31229,,,
"{'road': 'Crimp Hill', 'isolated_dwelling': 'Victorian Lodge', 'village': 'Old Windsor', 'county': 'Windsor and Maidenhead', 'ISO3166-2-lvl6': 'GB-WNM', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'TW20 0YB', 'country': 'United Kingdom', 'country_code': 'gb'}",Victorian Hideaways - The Victorian Lodge,,,,,Windsor and Maidenhead,TW20 0YB,UK,,,,,TW20,https://www.cottages.com/cottages/victorian-hideaways-the-victorian-lodge-uk42657,,,
"{'road': ""St Leonard's Road"", 'neighbourhood': 'Spital', 'suburb': 'Clewer New Town', 'town': 'Windsor', 'county': 'Windsor and Maidenhead', 'ISO3166-2-lvl6': 'GB-WNM', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'SL4 3DR', 'country': 'United Kingdom', 'country_code': 'gb'}",Park View Court Apartment,,,,Windsor,Windsor and Maidenhead,SL4 3DR,UK,,,,,SL4,https://www.cottages.com/cottages/park-view-court-apartment-uk33540,,,
"{'amenity': 'The Fire Station Centre For Arts And Culture', 'road': ""St. Leonard's Road"", 'neighbourhood': 'Clewer Within', 'suburb': 'Clewer New Town', 'village': 'Clewer Village', 'town': 'Windsor', 'county': 'Windsor and Maidenhead', 'ISO3166-2-lvl6': 'GB-WNM', 'state': 'England', 'ISO3166-2-lvl4': 'GB-ENG', 'postcode': 'SL4 3BH', 'country': 'United Kingdom', 'country_code': 'gb'}",St Leonards House,,,,Windsor,Windsor and Maidenhead,SL4 3BH,UK,,,,,SL4,https://www.cottages.com/cottages/st-leonards-house-uk33539,,,
